"sample_id","group","min","q1","median","q3","max","missing_fraction"
"GSM827665","Healthy",7.2234,7.8201,8,8.7954,17.3632,0
"GSM827666","Healthy",7.1713,7.83,8,8.72225,17.4295,0
"GSM827667","Healthy",7.2295,7.8677,8,8.3183,16.9778,0
"GSM827668","Healthy",7.3667,7.86055,8,8.37125,16.7443,0
"GSM827669","Healthy",7.364,7.8696,8,8.3272,16.7655,0
"GSM827670","Healthy",7.1847,7.83265,8,8.5736,17.5095,0
"GSM827671","Healthy",7.266,7.827,8,8.593,17.5336,0
"GSM827672","Healthy",7.1801,7.8189,8,8.777,17.7638,0
"GSM827673","Healthy",7.1534,7.8272,8,8.63115,17.3365,0
"GSM827674","Healthy",7.175,7.8388,8,8.6498,17.5874,0
"GSM827675","Healthy",7.2167,7.8733,8,8.3043,16.9094,0
"GSM827676","Healthy",6.9694,7.8263,8,8.62565,17.3289,0
"GSM827677","Healthy",7.0135,7.8388,8,8.6717,17.418,0
"GSM827678","Healthy",7.2807,7.8621,8,8.3382,16.7696,0
"GSM827679","Healthy",7.1766,7.8339,8,8.6206,17.3299,0
"GSM827680","Healthy",7.117,7.8276,8,8.6264,17.4088,0
"GSM827681","Healthy",7.122,7.8341,8,8.67265,17.7235,0
"GSM827682","Healthy",7.1755,7.8379,8,8.5672,17.4745,0
"GSM827683","Healthy",7.1322,7.8439,8,8.5181,17.6417,0
"GSM827684","Healthy",7.1522,7.8358,8,8.6311,17.6013,0
"GSM827685","Healthy",7.1454,7.8385,8,8.52975,17.4147,0
"GSM827686","Healthy",7.2749,7.8269,8,8.6688,17.2808,0
"GSM827687","Healthy",7.1864,7.8394,8,8.5165,17.5272,0
"GSM827688","Healthy",7.3835,7.8701,8,8.32635,16.8207,0
"GSM827689","Healthy",7.1968,7.8232,8,8.6255,17.3237,0
"GSM827690","Healthy",7.2923,7.8278,8,8.7147,17.3127,0
"GSM827691","Healthy",7.0272,7.8251,8,8.6742,17.7711,0
"GSM827692","Healthy",7.1567,7.8365,8,8.56555,17.7181,0
"GSM827693","Healthy",7.3265,7.8691,8,8.32985,16.8856,0
"GSM827694","Healthy",7.1947,7.8203,8,8.6111,17.1268,0
"GSM827695","Healthy",7.2596,7.8307,8,8.6239,17.3193,0
"GSM827696","Healthy",7.1781,7.8303,8,8.67765,17.5769,0
"GSM827697","Healthy",7.1146,7.8236,8,8.9016,17.7359,0
"GSM827698","Healthy",7.3784,7.8691,8,8.3015,16.5857,0
"GSM827699","Healthy",7.1957,7.82785,8,8.6646,17.1277,0
"GSM827700","Healthy",7.1842,7.8357,8,8.6143,17.6441,0
"GSM827701","Healthy",7.2132,7.8345,8,8.7041,17.3618,0
"GSM827702","Healthy",7.2088,7.8216,8,8.8678,17.4439,0
"GSM827703","Healthy",7.3278,7.8648,8,8.3368,16.8317,0
"GSM827704","Healthy",7.1307,7.8218,8,8.8446,17.5809,0
"GSM827705","Healthy",7.2352,7.83,8,8.73565,17.5848,0
"GSM827706","IPAH",7.0658,7.8368,8,8.75815,17.1794,0
"GSM827707","IPAH",7.2524,7.8401,8,8.5349,17.3467,0
"GSM827708","IPAH",7.2132,7.84105,8,8.5742,17.2287,0
"GSM827709","IPAH",7.4178,7.871,8,8.29475,16.713,0
"GSM827710","IPAH",7.4104,7.8631,8,8.36005,16.8716,0
"GSM827711","IPAH",7.411,7.8749,8,8.3115,16.9202,0
"GSM827712","IPAH",7.4162,7.8617,8,8.35915,16.7982,0
"GSM827713","IPAH",7.2817,7.8362,8,8.6471,17.5383,0
"GSM827714","IPAH",7.1594,7.8207,8,8.7791,17.5053,0
"GSM827715","IPAH",7.4217,7.8738,8,8.29555,16.8168,0
"GSM827716","IPAH",7.31,7.8695,8,8.31915,16.8056,0
"GSM827717","IPAH",7.2053,7.8203,8,8.77385,17.6135,0
"GSM827718","IPAH",6.9371,7.8155,8,8.8877,17.6939,0
"GSM827719","IPAH",7.2772,7.84405,8,8.5817,17.5628,0
"GSM827720","IPAH",7.3402,7.8671,8,8.3495,16.9246,0
"GSM827721","IPAH",7.2172,7.8481,8,8.5237,17.6773,0
"GSM827722","IPAH",7.1983,7.8226,8,8.66185,17.3278,0
"GSM827723","IPAH",7.1489,7.846,8,8.4608,17.4556,0
"GSM827724","IPAH",7.2775,7.8309,8,8.6787,17.1891,0
"GSM827725","IPAH",7.2248,7.84085,8,8.6966,17.4152,0
"GSM827726","IPAH",7.184,7.86215,8,8.3767,16.8654,0
"GSM827727","IPAH",7.3537,7.8527,8,8.4331,16.8656,0
"GSM827728","IPAH",7.3731,7.86365,8,8.3635,16.871,0
"GSM827729","IPAH",7.1401,7.8149,8,8.81405,17.4583,0
"GSM827730","IPAH",7.1045,7.81545,8,8.84815,17.9024,0
"GSM827731","IPAH",7.1219,7.8279,8,8.70905,17.4729,0
"GSM827732","IPAH",7.2012,7.8315,8,8.81385,17.684,0
"GSM827733","IPAH",7.2429,7.8212,8,8.6953,17.3239,0
"GSM827734","IPAH",7.2361,7.8261,8,8.6739,17.6282,0
"GSM827735","IPAH",7.2269,7.8431,8,8.56655,17.3465,0
