"NGenes","Direction","PValue","FDR","set","pah_camera_z"
148,"Down",3.32544772386539e-16,1.72357955527943e-12,"GOBP_CYTOPLASMIC_TRANSLATION",-8.16089732217469
14,"Up",3.58345391766031e-09,9.28652082761669e-06,"GOBP_OXYGEN_TRANSPORT",5.90235667523837
21,"Up",7.57921431384222e-09,1.30943559295481e-05,"GOBP_GAS_TRANSPORT",5.77755901147386
29,"Up",6.49729569592609e-07,0.000841887089799622,"GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS",4.97581715436149
14,"Up",1.0360254576516e-06,0.00107394398940164,"GOBP_CARBON_DIOXIDE_TRANSPORT",4.88466938515718
11,"Up",4.4046073240102e-06,0.00380484662672414,"GOBP_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",4.59131558486809
122,"Down",5.2748022556293e-06,0.00390561429870381,"GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION",-4.55355041702174
201,"Down",8.22291911925237e-06,0.00532742372438563,"GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION",-4.45929627216327
34,"Down",2.32465488403619e-05,0.0124675418458599,"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION",-4.2311829543241
43,"Down",2.40750411926732e-05,0.0124675418458599,"GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION",-4.2233005641907
105,"Down",3.34797612187816e-05,0.0124675418458599,"GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME",-4.14840644524055
15,"Down",3.35006497972252e-05,0.0124675418458599,"GOBP_NEGATIVE_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS",-4.14826362591593
430,"Down",3.48362495044715e-05,0.0124675418458599,"GOBP_RNA_SPLICING",-4.1393030670714
59,"Down",3.69042305805029e-05,0.0124675418458599,"GOBP_RIBOSOME_ASSEMBLY",-4.12605296760618
26,"Down",3.80697707662336e-05,0.0124675418458599,"GOBP_B_CELL_APOPTOTIC_PROCESS",-4.11889248592072
131,"Up",3.84874917101599e-05,0.0124675418458599,"GOBP_PLATELET_ACTIVATION",4.11637679442656
443,"Down",5.14354893559057e-05,0.0144853858062981,"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",-4.04900662310716
296,"Down",5.22153591588522e-05,0.0144853858062981,"GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",-4.0454829812656
92,"Down",5.71705290515643e-05,0.0144853858062981,"GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",-4.02419501599574
52,"Up",5.88476753252603e-05,0.0144853858062981,"GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS",4.01738444816216
55,"Down",5.98383465437969e-05,0.0144853858062981,"GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",-4.01344738040822
24,"Down",6.17009308245774e-05,0.0144853858062981,"GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",-4.00620948758931
21,"Up",6.57042435801806e-05,0.0144853858062981,"GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS",3.99132832215116
174,"Down",6.77635792736088e-05,0.0144853858062981,"GOBP_REGULATION_OF_RNA_SPLICING",-3.98400453189197
32,"Down",6.98696980817001e-05,0.0144853858062981,"GOBP_MRNA_SPLICE_SITE_RECOGNITION",-3.97672904994426
117,"Down",7.82116098954316e-05,0.0153872820332227,"GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION",-3.94981503135976
65,"Down",8.01575564146273e-05,0.0153872820332227,"GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION",-3.94392852924626
10,"Down",9.8619631573833e-05,0.0182551982302563,"GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",-3.89396316467886
72,"Down",0.000102408126447293,0.0183028041164248,"GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS",-3.88481431639167
76,"Down",0.000108595578258219,0.0187616960704117,"GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION",-3.87053766050878
227,"Up",0.00012543718074744,0.0208435621422293,"GOBP_HEMOSTASIS",3.83524893899764
84,"Down",0.000131242694759657,0.0208435621422293,"GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS",-3.82411491687798
116,"Down",0.000132710312694109,0.0208435621422293,"GOBP_TRANSLATIONAL_INITIATION",-3.82137381580636
10,"Down",0.000138047315067012,0.0210440951174213,"GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",-3.81164092527159
295,"Down",0.000172213914956031,0.0255024206062031,"GOBP_T_CELL_DIFFERENTIATION",-3.75663423478712
20,"Down",0.000192759899177246,0.0271923273247527,"GOBP_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS",-3.72832080621931
63,"Down",0.000197881160522115,0.0271923273247527,"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",-3.72170622680297
174,"Down",0.000199364931186687,0.0271923273247527,"GOBP_ALPHA_BETA_T_CELL_ACTIVATION",-3.71981984698552
76,"Down",0.000213295015358507,0.0274916828108955,"GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",-3.70272622896364
98,"Down",0.000215607476609954,0.0274916828108955,"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",-3.69999057216633
33,"Down",0.000217472312414956,0.0274916828108955,"GOBP_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS",-3.69780445286947
16,"Down",0.000241139293214148,0.0297577370649745,"GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT",-3.67149129469406
12,"Down",0.000253640582093755,0.0304316717159628,"GOBP_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",-3.65855573823437
38,"Down",0.000258343344685001,0.0304316717159628,"GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS",-3.65384392243418
56,"Down",0.000273262425321719,0.03088777774192,"GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",-3.63941093878942
127,"Down",0.000274134241969577,0.03088777774192,"GOBP_REGULATION_OF_MRNA_PROCESSING",-3.63859055023473
71,"Down",0.000286991326717552,0.0316484265186611,"GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",-3.62676764518174
41,"Down",0.000306731416675158,0.0331206027630697,"GOBP_REGULATION_OF_P38MAPK_CASCADE",-3.60954765927381
33,"Down",0.000319728473886562,0.0338194424521234,"GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",-3.59876782174736
11,"Down",0.000334230011922368,0.0346462830358726,"GOBP_NK_T_CELL_DIFFERENTIATION",-3.58721399862945
14,"Down",0.000360670388544461,0.0366540122318812,"GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",-3.56730587518381
130,"Down",0.000374333311068798,0.0370977927281298,"GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY",-3.55754758143041
99,"Down",0.000382361777188128,0.0370977927281298,"GOBP_RNA_DESTABILIZATION",-3.55196771169105
20,"Down",0.000386509899154739,0.0370977927281298,"GOBP_VIRAL_TRANSLATION",-3.54912749031151
10,"Down",0.000400212930588172,0.0377146112588817,"GOBP_IRIS_MORPHOGENESIS",-3.5399433493748
13,"Up",0.000425452259771229,0.0393771261141836,"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING",3.52377069985195
82,"Down",0.000437175293091159,0.0393916944275202,"GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE",-3.5165615449218
72,"Down",0.000440810009028781,0.0393916944275202,"GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION",-3.51436298576509
10,"Down",0.000480907958208358,0.0420398301901941,"GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION",-3.49117121720601
73,"Up",0.000494630932259655,0.0420398301901941,"GOBP_PLATELET_AGGREGATION",3.48364725638442
32,"Down",0.000494777086938422,0.0420398301901941,"GOBP_B_CELL_HOMEOSTASIS",-3.48356817615214
302,"Down",0.000557916935655821,0.0466400560887761,"GOBP_RIBOSOME_BIOGENESIS",-3.45128845457084
458,"Down",0.000583709988933515,0.0480217281371811,"GOBP_MRNA_PROCESSING",-3.43907291742326
23,"Down",0.000657694604263238,0.0532629864671306,"GOBP_THYMIC_T_CELL_SELECTION",-3.40663315509815
33,"Down",0.000686987487502136,0.0547793253495934,"GOBP_INTERLEUKIN_4_PRODUCTION",-3.39472028571581
51,"Down",0.000706856301603956,0.0548899432073732,"GOBP_P38MAPK_CASCADE",-3.38690589156395
17,"Down",0.000712087721520484,0.0548899432073732,"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-3.38488233528477
18,"Down",0.000720145888115257,0.0548899432073732,"GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE",-3.38179223492091
60,"Down",0.000750987931800993,0.0556153477588152,"GOBP_INTERLEUKIN_2_PRODUCTION",-3.37025448704394
175,"Down",0.000751123739748614,0.0556153477588152,"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",-3.37020466280934
50,"Down",0.00080808220194146,0.0589900007417265,"GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION",-3.35001144914025
13,"Up",0.000873976082823308,0.0629141394065723,"GOBP_SEROTONIN_UPTAKE",3.32823659617849
27,"Down",0.000906670025180221,0.0643735717877957,"GOBP_MATURATION_OF_LSU_RRNA",-3.31799224251408
25,"Down",0.000923416988993541,0.064676625053426,"GOBP_MRNA_CIS_SPLICING_VIA_SPLICEOSOME",-3.31287664133676
58,"Up",0.00112110305207055,0.0774756949184223,"GOBP_ONE_CARBON_COMPOUND_TRANSPORT",3.25822796845724
119,"Down",0.00117140764021174,0.0784577694635084,"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS",-3.24575217824681
28,"Down",0.00117862950298844,0.0784577694635084,"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION",-3.2440019235524
14,"Down",0.00118683259309548,0.0784577694635084,"GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",-3.24202584376727
15,"Down",0.00119662182393791,0.0784577694635084,"GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX",-3.23968412003244
27,"Down",0.0012110016509899,0.0784577694635084,"GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING",-3.23627615450484
15,"Down",0.00127785068721253,0.081054585604757,"GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR",-3.22090820771219
177,"Down",0.0012823607986861,0.081054585604757,"GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS",-3.21989830287181
133,"Down",0.00132432515447525,0.0826985213933157,"GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS",-3.21065567287592
123,"Down",0.00137088452814805,0.084586839397516,"GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",-3.20071205695493
42,"Down",0.00142616303618426,0.0863222600697148,"GOBP_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION",-3.18930300708954
81,"Down",0.00143231996256907,0.0863222600697148,"GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION",-3.18805761024948
