"set","same_direction_bh_timepoints","opposite_direction_bh_timepoints","both_bh_timepoints","pah_direction","pah_fdr"
"GOBP_CYTOPLASMIC_TRANSLATION",4,0,4,"Down",1.72357955527943e-12
"GOBP_OXYGEN_TRANSPORT",1,2,3,"Up",9.28652082761669e-06
"GOBP_RIBOSOME_ASSEMBLY",3,0,3,"Down",0.0124675418458599
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS",3,0,3,"Down",0.0183028041164248
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS",3,0,3,"Down",0.0274916828108955
"GOBP_RIBOSOME_BIOGENESIS",3,0,3,"Down",0.0466400560887761
"GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS",0,2,2,"Up",0.000841887089799622
"GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS",1,1,2,"Up",0.0144853858062981
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",2,0,2,"Down",0.0144853858062981
"GOBP_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS",0,2,2,"Down",0.0274916828108955
"GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS",0,2,2,"Down",0.0304316717159628
"GOBP_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS",0,2,2,"Down",0.0304316717159628
"GOBP_COMPLEMENT_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",1,0,1,"Up",0.00380484662672414
"GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION",1,0,1,"Down",0.00532742372438563
"GOBP_PLATELET_ACTIVATION",1,0,1,"Up",0.0124675418458599
"GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",1,0,1,"Down",0.0144853858062981
"GOBP_HEMOSTASIS",1,0,1,"Up",0.0208435621422293
"GOBP_POSITIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0,1,1,"Down",0.0210440951174213
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",1,0,1,"Down",0.0271923273247527
"GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT",0,1,1,"Down",0.0297577370649745
"GOBP_PLATELET_AGGREGATION",1,0,1,"Up",0.0420398301901941
"GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION",0,0,0,"Down",0.00390561429870381
"GOBP_B_CELL_APOPTOTIC_PROCESS",0,0,0,"Down",0.0124675418458599
"GOBP_NEGATIVE_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS",0,0,0,"Down",0.0124675418458599
"GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION",0,0,0,"Down",0.0124675418458599
"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION",0,0,0,"Down",0.0124675418458599
"GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME",0,0,0,"Down",0.0124675418458599
"GOBP_RNA_SPLICING",0,0,0,"Down",0.0124675418458599
"GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",0,0,0,"Down",0.0144853858062981
"GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",0,0,0,"Down",0.0144853858062981
"GOBP_REGULATION_OF_RNA_SPLICING",0,0,0,"Down",0.0144853858062981
"GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",0,0,0,"Down",0.0144853858062981
"GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION",0,0,0,"Down",0.0153872820332227
"GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION",0,0,0,"Down",0.0153872820332227
"GOBP_NEGATIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",0,0,0,"Down",0.0182551982302563
"GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION",0,0,0,"Down",0.0187616960704117
"GOBP_TRANSLATIONAL_INITIATION",0,0,0,"Down",0.0208435621422293
"GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS",0,0,0,"Down",0.0208435621422293
"GOBP_T_CELL_DIFFERENTIATION",0,0,0,"Down",0.0255024206062031
"GOBP_ALPHA_BETA_T_CELL_ACTIVATION",0,0,0,"Down",0.0271923273247527
"GOBP_REGULATION_OF_B_CELL_APOPTOTIC_PROCESS",0,0,0,"Down",0.0271923273247527
"GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",0,0,0,"Down",0.0274916828108955
"GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0,0,0,"Down",0.03088777774192
"GOBP_REGULATION_OF_MRNA_PROCESSING",0,0,0,"Down",0.03088777774192
"GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",0,0,0,"Down",0.0316484265186611
"GOBP_REGULATION_OF_P38MAPK_CASCADE",0,0,0,"Down",0.0331206027630697
"GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",0,0,0,"Down",0.0338194424521234
"GOBP_NK_T_CELL_DIFFERENTIATION",0,0,0,"Down",0.0346462830358726
"GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",0,0,0,"Down",0.0366540122318812
"GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0,0,0,"Down",0.0370977927281298
"GOBP_VIRAL_TRANSLATION",0,0,0,"Down",0.0370977927281298
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING",0,0,0,"Up",0.0393771261141836
"GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION",0,0,0,"Down",0.0393916944275202
"GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE",0,0,0,"Down",0.0393916944275202
"GOBP_B_CELL_HOMEOSTASIS",0,0,0,"Down",0.0420398301901941
"GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION",0,0,0,"Down",0.0420398301901941
"GOBP_MRNA_PROCESSING",0,0,0,"Down",0.0480217281371811
"GOBP_THYMIC_T_CELL_SELECTION",0,0,0,"Down",0.0532629864671306
"GOBP_INTERLEUKIN_4_PRODUCTION",0,0,0,"Down",0.0547793253495934
"GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE",0,0,0,"Down",0.0548899432073732
"GOBP_P38MAPK_CASCADE",0,0,0,"Down",0.0548899432073732
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",0,0,0,"Down",0.0548899432073732
"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",0,0,0,"Down",0.0556153477588152
"GOBP_INTERLEUKIN_2_PRODUCTION",0,0,0,"Down",0.0556153477588152
"GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION",0,0,0,"Down",0.0589900007417265
"GOBP_MATURATION_OF_LSU_RRNA",0,0,0,"Down",0.0643735717877957
"GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX",0,0,0,"Down",0.0784577694635084
"GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",0,0,0,"Down",0.0784577694635084
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION",0,0,0,"Down",0.0784577694635084
"GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING",0,0,0,"Down",0.0784577694635084
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS",0,0,0,"Down",0.0784577694635084
"GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS",0,0,0,"Down",0.081054585604757
"GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR",0,0,0,"Down",0.081054585604757
"GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",0,0,0,"Down",0.084586839397516
"GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION",0,0,0,"Down",0.0863222600697148
"GOBP_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION",0,0,0,"Down",0.0863222600697148
"GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION",0,0,0,"Down",0.0941767317749597
"GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION",0,0,0,"Down",0.0968275352040107
"GOBP_U2_TYPE_PRESPLICEOSOME_ASSEMBLY",0,0,0,"Down",0.100218788334376
"GOBP_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE",0,0,0,"Down",0.108951258341924
"GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION",0,0,0,"Down",0.110000110922277
"GOBP_HOMOTYPIC_CELL_CELL_ADHESION",0,0,0,"Up",0.110000110922277
"GOBP_I_KAPPAB_PHOSPHORYLATION",0,0,0,"Up",0.110000110922277
"GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",0,0,0,"Down",0.110000110922277
"GOBP_REGULATION_OF_MIRNA_METABOLIC_PROCESS",0,0,0,"Down",0.110000110922277
"GOBP_REGULATION_OF_T_CELL_CHEMOTAXIS",0,0,0,"Up",0.110000110922277
"GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",0,0,0,"Down",0.119406228380978
"GOBP_REGULATION_OF_PLATELET_ACTIVATION",0,0,0,"Up",0.120795114343578
"GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",0,0,0,"Down",0.123459172087152
"GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION",0,0,0,"Down",0.130112244168551
"GOBP_POSITIVE_REGULATION_OF_TRANSLATION",0,0,0,"Down",0.130112244168551
"GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",0,0,0,"Down",0.133761088846555
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR",0,0,0,"Down",0.137086611560707
"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR",0,0,0,"Down",0.138790465711077
"GOBP_REGULATION_OF_NCRNA_TRANSCRIPTION",0,0,0,"Down",0.147647662591372
"GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",0,0,0,"Down",0.148519556211492
"GOBP_T_CELL_SELECTION",0,0,0,"Down",0.148519556211492
"GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS",0,0,0,"Down",0.151206137127765
"GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE",0,0,0,"Down",0.151313191262055
"GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",0,0,0,"Down",0.151313191262055
"GOBP_THROMBIN_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY",0,0,0,"Up",0.151313191262055
"GOBP_T_HELPER_17_CELL_DIFFERENTIATION",0,0,0,"Down",0.151313191262055
"GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN",0,0,0,"Down",0.157621065182483
"GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN",0,0,0,"Down",0.15826836753079
"GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION",0,0,0,"Down",0.15826836753079
"GOBP_POSITIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",0,0,0,"Down",0.15826836753079
"GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",0,0,0,"Down",0.164044531459538
"GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",0,0,0,"Down",0.164277260744425
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",0,0,0,"Down",0.165381257299475
"GOBP_PHOTOPERIODISM",0,0,0,"Down",0.165381257299475
"GOBP_POSITIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION",0,0,0,"Down",0.181086359920874
"GOBP_HEAD_MORPHOGENESIS",0,0,0,"Down",0.183892759242927
"GOBP_ENTRAINMENT_OF_CIRCADIAN_CLOCK",0,0,0,"Down",0.192187638838043
"GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR",0,0,0,"Down",0.192187638838043
"GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS",0,0,0,"Down",0.192187638838043
"GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION",0,0,0,"Down",0.192187638838043
"GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS",0,0,0,"Down",0.192187638838043
