"Timepoint","analysis","shared_genes","spearman_rho"
"during_20_min","primary_max_abs_t",13055,-0.0787638949363291
"during_20_min","exclude_oxygen_transport_and_peroxide_catabolism",13031,-0.0774424009714389
"during_20_min","highest_mean_expression_probe",13055,-0.090965338370927
"during_40_min","primary_max_abs_t",13055,-0.0285862077075032
"during_40_min","exclude_oxygen_transport_and_peroxide_catabolism",13031,-0.0269367514625829
"during_40_min","highest_mean_expression_probe",13055,-0.0362672282123616
"post_10_min","primary_max_abs_t",13055,0.0601020705534789
"post_10_min","exclude_oxygen_transport_and_peroxide_catabolism",13031,0.060448646640331
"post_10_min","highest_mean_expression_probe",13055,0.0581994750028847
"post_15_30_45_min","primary_max_abs_t",13055,0.124714923110028
"post_15_30_45_min","exclude_oxygen_transport_and_peroxide_catabolism",13031,0.1239584192343
"post_15_30_45_min","highest_mean_expression_probe",13055,0.135720592355306
"post_3.5_4_hr","primary_max_abs_t",13055,0.116057976816858
"post_3.5_4_hr","exclude_oxygen_transport_and_peroxide_catabolism",13031,0.117030219126527
"post_3.5_4_hr","highest_mean_expression_probe",13055,0.125359582509263
"post_24_hr","primary_max_abs_t",13055,0.089856161614909
"post_24_hr","exclude_oxygen_transport_and_peroxide_catabolism",13031,0.0902242238615042
"post_24_hr","highest_mean_expression_probe",13055,0.0960489123758501
