paper_symbol,uniprot_accession,pah_to_control_ratio,paper_reported_p_value_text,motrpac_symbol,motrpac_timepoint,motrpac_logFC,motrpac_bh_adj_p_value,motrpac_bh_q_lt_0_05,source_doi,motrpac_package_version
NDUFA9,Q16795,0.71,0.004,NDUFA9,post_15_30_45_min,-0.0685258172135945,0.999646395107733,no,10.1007/s00109-014-1244-0,0.2.4
NDUFA9,Q16795,0.71,0.004,NDUFA9,post_3.5_4_hr,0.0101615503274538,0.999308838312334,no,10.1007/s00109-014-1244-0,0.2.4
NDUFA9,Q16795,0.71,0.004,NDUFA9,post_24_hr,-0.0423653820554176,0.882877689096743,no,10.1007/s00109-014-1244-0,0.2.4
UQCRC2,P22695,0.74,0.006,UQCRC2,post_15_30_45_min,-0.079663576900444,0.999646395107733,no,10.1007/s00109-014-1244-0,0.2.4
UQCRC2,P22695,0.74,0.006,UQCRC2,post_3.5_4_hr,-0.0201771402901813,0.999308838312334,no,10.1007/s00109-014-1244-0,0.2.4
UQCRC2,P22695,0.74,0.006,UQCRC2,post_24_hr,-0.0565678409568275,0.867624851929189,no,10.1007/s00109-014-1244-0,0.2.4
UQCRC1,P31930,0.74,0.001,UQCRC1,post_15_30_45_min,-0.0515303389416297,0.999646395107733,no,10.1007/s00109-014-1244-0,0.2.4
UQCRC1,P31930,0.74,0.001,UQCRC1,post_3.5_4_hr,-0.0117455797108029,0.999308838312334,no,10.1007/s00109-014-1244-0,0.2.4
UQCRC1,P31930,0.74,0.001,UQCRC1,post_24_hr,-0.0722466186274088,0.829392590601692,no,10.1007/s00109-014-1244-0,0.2.4
ATP5L,O75964,0.7,0.01,ATP5MG,post_15_30_45_min,0.0587918055262929,0.999646395107733,no,10.1007/s00109-014-1244-0,0.2.4
ATP5L,O75964,0.7,0.01,ATP5MG,post_3.5_4_hr,0.104394398065636,0.999308838312334,no,10.1007/s00109-014-1244-0,0.2.4
ATP5L,O75964,0.7,0.01,ATP5MG,post_24_hr,0.0086858486229564,0.991116763970423,no,10.1007/s00109-014-1244-0,0.2.4
ATP5B,P06576,0.74,<0.0001,ATP5F1B,post_15_30_45_min,-0.0864324117665053,0.999646395107733,no,10.1007/s00109-014-1244-0,0.2.4
ATP5B,P06576,0.74,<0.0001,ATP5F1B,post_3.5_4_hr,0.0116885268247179,0.999308838312334,no,10.1007/s00109-014-1244-0,0.2.4
ATP5B,P06576,0.74,<0.0001,ATP5F1B,post_24_hr,-0.0429140382798913,0.890431381311757,no,10.1007/s00109-014-1244-0,0.2.4
IDH2,P48735,0.74,0.05,IDH2,post_15_30_45_min,-0.0373914460382083,0.999646395107733,no,10.1007/s00109-014-1244-0,0.2.4
IDH2,P48735,0.74,0.05,IDH2,post_3.5_4_hr,-0.0579926393020609,0.999308838312334,no,10.1007/s00109-014-1244-0,0.2.4
IDH2,P48735,0.74,0.05,IDH2,post_24_hr,-0.0325784837176264,0.942302108342436,no,10.1007/s00109-014-1244-0,0.2.4
OGDH,Q02218,0.77,0.002,OGDH,post_15_30_45_min,-0.0514473764603997,0.999646395107733,no,10.1007/s00109-014-1244-0,0.2.4
OGDH,Q02218,0.77,0.002,OGDH,post_3.5_4_hr,-0.0143403017365556,0.999308838312334,no,10.1007/s00109-014-1244-0,0.2.4
OGDH,Q02218,0.77,0.002,OGDH,post_24_hr,-0.041142509076511,0.89106500602394,no,10.1007/s00109-014-1244-0,0.2.4
SLC25A4,P12235,0.65,<0.0001,SLC25A4,post_15_30_45_min,-0.0926576823199597,0.999646395107733,no,10.1007/s00109-014-1244-0,0.2.4
SLC25A4,P12235,0.65,<0.0001,SLC25A4,post_3.5_4_hr,0.106038275599872,0.999308838312334,no,10.1007/s00109-014-1244-0,0.2.4
SLC25A4,P12235,0.65,<0.0001,SLC25A4,post_24_hr,-0.0834323635112717,0.830755667955513,no,10.1007/s00109-014-1244-0,0.2.4
ECH1,Q13011,0.57,0.02,ECH1,post_15_30_45_min,-0.0763998125349938,0.999646395107733,no,10.1007/s00109-014-1244-0,0.2.4
ECH1,Q13011,0.57,0.02,ECH1,post_3.5_4_hr,0.00880115735913567,0.999308838312334,no,10.1007/s00109-014-1244-0,0.2.4
ECH1,Q13011,0.57,0.02,ECH1,post_24_hr,-0.0571184758218485,0.871571368199754,no,10.1007/s00109-014-1244-0,0.2.4
