"paper_symbol","uniprot_accession","motrpac_current_symbol","motrpac_rna_timepoint","motrpac_rna_feature_id","motrpac_rna_logFC","motrpac_rna_bh_adj_p_value","positive_logFC","positive_and_bh_q_lt_0_05","source_doi","motrpac_package_version"
"NDUFA9","Q16795","NDUFA9","post_15_30_45_min","ENSG00000139180.11",-0.0869618435004913,0.458708375508648,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"UQCRC2","P22695","UQCRC2","post_15_30_45_min","ENSG00000140740.11",-0.0766791516672303,0.471021323127999,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"UQCRC1","P31930","UQCRC1","post_15_30_45_min","ENSG00000010256.11",-0.0372016751075908,0.794389124862395,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"ATP5L","O75964","ATP5MG","post_15_30_45_min","ENSG00000167283.9",-0.0908584740355671,0.349100883824371,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"ATP5B","P06576","ATP5F1B","post_15_30_45_min","ENSG00000110955.9",-0.0429725531775897,0.752512119608553,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"IDH2","P48735","IDH2","post_15_30_45_min","ENSG00000182054.10",-0.0581679010477796,0.608875197019487,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"OGDH","Q02218","OGDH","post_15_30_45_min","ENSG00000105953.16",-0.0810983107307024,0.37372187082771,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"SLC25A4","P12235","SLC25A4","post_15_30_45_min","ENSG00000151729.11",-0.0347863764494729,0.874678207379199,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"ECH1","Q13011","ECH1","post_15_30_45_min","ENSG00000104823.9",-0.149893919072832,0.185264828558493,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"NDUFA9","Q16795","NDUFA9","post_3.5_4_hr","ENSG00000139180.11",0.00949337002800377,0.949940620397504,TRUE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"UQCRC2","P22695","UQCRC2","post_3.5_4_hr","ENSG00000140740.11",0.0102774895710365,0.939128064450698,TRUE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"UQCRC1","P31930","UQCRC1","post_3.5_4_hr","ENSG00000010256.11",0.0208184642358589,0.872110162824241,TRUE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"ATP5L","O75964","ATP5MG","post_3.5_4_hr","ENSG00000167283.9",0.0135931147261612,0.917219124015423,TRUE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"ATP5B","P06576","ATP5F1B","post_3.5_4_hr","ENSG00000110955.9",0.0180087961493651,0.889841112687344,TRUE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"IDH2","P48735","IDH2","post_3.5_4_hr","ENSG00000182054.10",0.0261537335772495,0.818768728602703,TRUE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"OGDH","Q02218","OGDH","post_3.5_4_hr","ENSG00000105953.16",-0.0083781116959738,0.945661429573097,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"SLC25A4","P12235","SLC25A4","post_3.5_4_hr","ENSG00000151729.11",0.124390275088878,0.281287512154996,TRUE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"ECH1","Q13011","ECH1","post_3.5_4_hr","ENSG00000104823.9",-0.00881438166425319,0.960363917346481,FALSE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"NDUFA9","Q16795","NDUFA9","post_24_hr","ENSG00000139180.11",0.170880038477605,0.0316589837087437,TRUE,TRUE,"10.1007/s00109-014-1244-0","0.2.4"
"UQCRC2","P22695","UQCRC2","post_24_hr","ENSG00000140740.11",0.126515955803884,0.0971104326399852,TRUE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"UQCRC1","P31930","UQCRC1","post_24_hr","ENSG00000010256.11",0.16831835030154,0.0188268395351055,TRUE,TRUE,"10.1007/s00109-014-1244-0","0.2.4"
"ATP5L","O75964","ATP5MG","post_24_hr","ENSG00000167283.9",0.267338416378823,1.23081909695587e-05,TRUE,TRUE,"10.1007/s00109-014-1244-0","0.2.4"
"ATP5B","P06576","ATP5F1B","post_24_hr","ENSG00000110955.9",0.186735306444149,0.0068127524666614,TRUE,TRUE,"10.1007/s00109-014-1244-0","0.2.4"
"IDH2","P48735","IDH2","post_24_hr","ENSG00000182054.10",0.0352743794710033,0.763197855169539,TRUE,FALSE,"10.1007/s00109-014-1244-0","0.2.4"
"OGDH","Q02218","OGDH","post_24_hr","ENSG00000105953.16",0.192367083913318,0.00127861439904647,TRUE,TRUE,"10.1007/s00109-014-1244-0","0.2.4"
"SLC25A4","P12235","SLC25A4","post_24_hr","ENSG00000151729.11",0.420728778722962,6.08091417798537e-07,TRUE,TRUE,"10.1007/s00109-014-1244-0","0.2.4"
"ECH1","Q13011","ECH1","post_24_hr","ENSG00000104823.9",0.203861620601041,0.0246809590524692,TRUE,TRUE,"10.1007/s00109-014-1244-0","0.2.4"
